State,Park,RecreationVisitors,RecreationVisitors%,RecreationVisitorDays,RecreationVisitorDays%,NonRecreationVisitors,NonRecreationVisitors%,RecreationVisitorHours,RecreationVisitorHours%,NonRecreationVisitorHours,NonRecreationVisitorHours%
California,Fort Point NHS,1189908,0.31670000000000004,56808,0.32420000000000004,0,,681703,0.32420000000000004,0,
California,Golden Gate NRA,17187508,0.1494,3775773,0.1605,0,,45309286,0.1605,0,
California,John Muir NHS,45753,-0.10060000000000001,5719,-0.10060000000000001,109,3.9545,68632,-0.10060000000000001,27,3.5
California,Joshua Tree NP,2991874,-0.0852,1484040,-0.0703,10704,-0.12050000000000001,17808480,-0.0703,10704,-0.12050000000000001
California,Kings Canyon NP,699389,0.0876,1948108,0.0709,25305,0.0446,23377306,0.0709,101220,0.0446
California,Lassen Volcanic NP,357651,-0.1464,312299,-0.0885,0,,3747597,-0.0885,0,
California,Lava Beds NM,127563,-0.0632,34583,-0.1043,771,0.0,415002,-0.1043,381,0.0
California,Manzanar NHS,93854,-0.1097,11731,-0.1097,0,,140781,-0.1097,0,
California,Mojave NPRES,424864,-0.6396000000000001,217048,-0.6335999999999999,0,,2604580,-0.6335999999999999,0,
California,Muir Woods NM,792494,-0.0212,88032,-0.0212,0,,1056395,-0.0212,0,
California,Pinnacles NP,354076,0.0377,186658,0.1634,0,,2239900,0.1634,0,
California,Point Reyes NS,2371800,0.045700000000000005,922230,0.047599999999999996,25788,0.0,11066761,0.047599999999999996,25788,0.0
California,Port Chicago Naval Magazine NMEM,930,0.2173,155,0.2205,0,,1860,0.2173,0,
California,Redwood NP,622883,0.5226,206449,0.39649999999999996,10824,0.0,2477392,0.39649999999999996,2724,0.0
California,Rosie The Riveter WWII Home Front NHP,34913,-0.1246,8728,-0.1246,0,,104739,-0.1246,0,
California,San Francisco Maritime NHP,2535134,0.43270000000000003,199141,0.4191,0,,2389697,0.4191,0,
California,Santa Monica Mountains NRA,639745,-0.1575,92665,-0.2837,37308,-0.2487,1111988,-0.2837,19192,-0.24350000000000002
California,Sequoia NP,1309573,0.33549999999999996,3433124,0.2787,13743,-0.0025,41197495,0.2787,54972,-0.0025
California,Tule Lake NM,3810,0.3951,337,0.6439,0,,4049,0.6433,0,
California,Whiskeytown NRA,812244,-0.1174,241397,-0.1366,5875,-0.0179,2896774,-0.1366,11277,-0.0048
California,Yosemite NP,4121807,0.057699999999999994,5016295,0.1563,163922,0.023399999999999997,60195540,0.1563,4264527,0.0045000000000000005
Colorado,Amache NHS,4771,,397,,336,,4771,,978,
Colorado,Bent's Old Fort NHS,16102,-0.1834,2348,-0.1833,0,,28179,-0.1834,0,
Colorado,Black Canyon of the Gunnison NP,335862,-0.0594,154134,-0.035699999999999996,0,,1849616,-0.035699999999999996,0,
Colorado,Colorado NM,488038,0.0038,122037,-0.07730000000000001,366138,0.034,1464444,-0.07730000000000001,183068,0.034
Colorado,Curecanti NRA,980899,0.024300000000000002,345692,-0.006999999999999999,0,,4148311,-0.006999999999999999,0,
Colorado,Dinosaur NM,238364,-0.013500000000000002,128267,-0.0327,0,,1539211,-0.0327,0,
Colorado,Florissant Fossil Beds NM,71499,0.1217,7558,0.1747,0,,90700,0.1747,0,
Colorado,Great Sand Dunes NP & PRES,437661,-0.1456,253713,0.0259,470,0.0,3044557,0.0259,470,0.0
Colorado,Hovenweep NM,13848,-0.10679999999999999,4771,0.1745,132,0.0,57252,0.1745,24,0.0
Colorado,Mesa Verde NP,480065,-0.049699999999999994,266984,-0.091,11246,-0.0518,3203809,-0.091,11246,-0.0518
Colorado,Rocky Mountain NP,4154349,0.009399999999999999,2317605,0.0364,8750,0.0,27811271,0.0364,26250,0.0
Colorado,Sand Creek Massacre NHS,6401,0.0933,1024,0.0928,0,,12297,0.0929,0,
Connecticut,Weir Farm NHP,34246,-0.056900000000000006,5246,-0.0472,0,,62952,-0.0473,0,
Delaware,First State NHP,192220,0.5206000000000001,44407,0.7863,60,0.0,532891,0.7863,480,0.0
District of Columbia,Belmont-Paul Women's Equality NM,7704,2.7876,642,2.7988,0,,7704,2.7876,0,
District of Columbia,Carter G. Woodson Home NHS,30,,1,,0,,15,,0,
District of Columbia,Chesapeake & Ohio Canal NHP,1061104,-0.011000000000000001,188155,-0.0137,2856,0.0,2257866,-0.0137,2856,0.0
District of Columbia,Dwight D. Eisenhower MEM,731476,0.0959,30478,0.0959,0,,365739,0.0959,0,
District of Columbia,Ford's Theatre NHS,457132,0.16260000000000002,54213,0.20149999999999998,4125,-0.4775,650564,0.20149999999999998,12375,-0.4775
District of Columbia,Franklin Delano Roosevelt MEM,3225923,-0.022099999999999998,134413,-0.022099999999999998,0,,1612960,-0.022099999999999998,0,
District of Columbia,Frederick Douglass NHS,25836,1.0022,2153,1.0028,0,,25836,1.0022,0,
District of Columbia,Korean War Veterans MEM,4344305,0.0513,181012,0.0513,0,,2172151,0.0513,0,
District of Columbia,Lincoln Memorial,8479349,0.046900000000000004,353306,0.046900000000000004,0,,4239675,0.046900000000000004,0,
District of Columbia,"Martin Luther King, Jr. MEM",3251594,-0.027000000000000003,135483,-0.0269,0,,1625798,-0.0269,0,
District of Columbia,Mary McLeod Bethune Council House NHS,3338,-0.056299999999999996,556,-0.055999999999999994,0,,6676,-0.056299999999999996,0,
District of Columbia,National Capital Parks Central,1034341,-0.0222,71139,-0.049,0,,853677,-0.049,0,
District of Columbia,National Capital Parks East,1144014,0.014499999999999999,162577,0.0171,6752229,0.0708,1950932,0.0171,2578453,0.0452
District of Columbia,Pennsylvania Avenue NHS,141840,0.027000000000000003,3900,0.0269,0,,46807,0.027000000000000003,0,
District of Columbia,President's Park,915636,0.0206,109335,0.021400000000000002,0,,1312030,0.021400000000000002,0,
District of Columbia,Rock Creek Park,1917170,0.0546,180660,0.21289999999999998,12421269,0.0001,2167925,0.21289999999999998,6210631,0.0001
District of Columbia,Thomas Jefferson MEM,2915319,-0.0233,121471,-0.0233,0,,1457660,-0.0233,0,
District of Columbia,Vietnam Veterans MEM,5295711,0.0509,220654,0.0508,0,,2647856,0.0509,0,
District of Columbia,Washington Monument,247208,-0.0062,20600,-0.0062,0,,247208,-0.0062,0,
District of Columbia,White House,517030,-0.0662,28116,-0.3122,0,,337402,-0.3122,0,
District of Columbia,World War I MEM,1084897,-0.0067,45204,-0.0067,0,,542448,-0.0067,0,
District of Columbia,World War II MEM,5160769,0.008100000000000001,215031,0.008,0,,2580383,0.008100000000000001,0,
Florida,Big Cypress NPRES,2216708,0.2005,388900,0.1216,0,,4666808,0.1216,0,
Florida,Biscayne NP,512213,-0.1033,131669,-0.127,0,,1580031,-0.127,0,
Florida,Canaveral NS,1884091,-0.0669,398061,-0.069,0,,4776737,-0.069,0,
Florida,Castillo de San Marcos NM,579825,-0.10339999999999999,36239,-0.10339999999999999,0,,434870,-0.10339999999999999,0,
Florida,De Soto NMEM,155016,-0.33149999999999996,21314,-0.33149999999999996,0,,255777,-0.33149999999999996,0,
Florida,Dry Tortugas NP,84873,0.006999999999999999,51658,-0.014199999999999999,1710,0.0634,619897,-0.014199999999999999,20520,0.0634
Florida,Everglades NP,741983,-0.0842,335918,-0.1892,6000,0.0,4031017,-0.1892,27000,0.0
Florida,Fort Caroline NMEM,260350,-0.19649999999999998,21695,-0.19649999999999998,0,,260350,-0.19649999999999998,0,
Florida,Fort Matanzas NM,680040,-0.0443,57495,-0.04,0,,689947,-0.04,0,
Florida,Gulf Islands NS,5391021,0.0562,1213876,0.019299999999999998,12336,0.0,14566518,0.019299999999999998,6168,0.0
Florida,Timucuan EHP,997136,0.0393,192766,-0.1016,0,,2313203,-0.1016,0,
Georgia,Andersonville NHS,72925,-0.061900000000000004,12154,-0.061900000000000004,0,,145852,-0.061900000000000004,0,
Georgia,Chattahoochee River NRA,2940804,-0.0761,980267,-0.0761,0,,11763215,-0.0761,0,
Georgia,Chickamauga & Chattanooga NMP,501540,-0.0183,78733,-0.0125,2227106,-0.0016,944800,-0.0125,334066,-0.0016
Georgia,Cumberland Island NS,64706,-0.1234,63892,-0.124,0,,766707,-0.124,0,
