County,PovertyPopulation,PovertyPopulation%
Buchanan County,1815,0.08800000000000001
Buena Vista County,2404,0.122
Cedar County,1426,0.079
Cerro Gordo County,4422,0.107
Chickasaw County,1003,0.08800000000000001
Davis County,1055,0.11599999999999999
Des Moines County,5380,0.14300000000000002
Dickinson County,1400,0.079
Dubuque County,9097,0.096
Emmet County,867,0.098
Guthrie County,1053,0.099
Ida County,624,0.094
Iowa County,1219,0.076
Keokuk County,1090,0.111
Kossuth County,1432,0.102
Linn County,22062,0.099
Louisa County,1014,0.098
Lucas County,1185,0.13699999999999998
Lyon County,951,0.078
Mahaska County,2480,0.11699999999999999
Mills County,1237,0.085
Monona County,1045,0.126
Muscatine County,4852,0.11699999999999999
O'Brien County,1247,0.091
Page County,1892,0.138
Palo Alto County,911,0.107
Plymouth County,2201,0.087
Pocahontas County,762,0.111
Pottawattamie County,10542,0.11599999999999999
Poweshiek County,1725,0.10300000000000001
Ringgold County,638,0.141
Sac County,956,0.1
Sioux County,2330,0.069
Story County,13147,0.149
Tama County,2040,0.12300000000000001
Wapello County,4716,0.138
Winneshiek County,1437,0.079
Woodbury County,13286,0.129
Wright County,1366,0.11
Anderson County,898,0.11599999999999999
Atchison County,1952,0.136
Barber County,468,0.11699999999999999
Barton County,3666,0.15
Bourbon County,2153,0.154
Chase County,274,0.114
Chautauqua County,483,0.147
Cloud County,1011,0.121
Coffey County,796,0.098
Comanche County,193,0.121
Cowley County,4896,0.152
Doniphan County,870,0.12300000000000001
Elk County,419,0.171
Ellis County,4223,0.156
Ellsworth County,637,0.12300000000000001
Finney County,4401,0.11900000000000001
Geary County,3736,0.11
Gove County,254,0.094
Gray County,489,0.087
Greeley County,128,0.111
Greenwood County,828,0.14300000000000002
Harper County,756,0.141
Harvey County,2663,0.08199999999999999
Haskell County,386,0.10800000000000001
Hodgeman County,169,0.10400000000000001
Jewell County,343,0.121
Kearny County,383,0.102
Kingman County,828,0.11900000000000001
Labette County,2997,0.155
Lane County,153,0.102
Leavenworth County,6431,0.083
McPherson County,2348,0.083
Meade County,368,0.096
Morris County,611,0.11699999999999999
Morton County,303,0.12
Nemaha County,830,0.084
Neosho County,2224,0.149
Ness County,257,0.102
Norton County,608,0.139
Osage County,1688,0.10800000000000001
Osborne County,401,0.121
Ottawa County,581,0.102
Pawnee County,685,0.128
Pottawatomie County,2046,0.079
Pratt County,815,0.095
Rawlins County,264,0.109
Reno County,6928,0.11800000000000001
Republic County,542,0.11900000000000001
Rice County,923,0.106
Riley County,10892,0.18
Rooks County,514,0.11199999999999999
Seward County,2975,0.14400000000000002
Shawnee County,21878,0.126
Sheridan County,261,0.11
Sherman County,768,0.13699999999999998
Smith County,421,0.11900000000000001
Stafford County,532,0.14
Stanton County,201,0.107
Stevens County,524,0.105
Sumner County,2464,0.11199999999999999
Trego County,289,0.107
Wabaunsee County,613,0.09
Wallace County,198,0.134
Wichita County,215,0.105
Wilson County,1179,0.14300000000000002
Woodson County,425,0.139
Wyandotte County,27891,0.171
Ballard County,1075,0.14400000000000002
Barren County,7951,0.18
Bath County,2289,0.17800000000000002
Bell County,6547,0.289
Boyd County,8249,0.18100000000000002
Boyle County,4115,0.147
Bracken County,1198,0.14300000000000002
Breathitt County,3850,0.303
Breckinridge County,3419,0.165
Bullitt County,7130,0.084
Caldwell County,1940,0.158
Calloway County,6130,0.17600000000000002
Campbell County,9417,0.10300000000000001
Carlisle County,600,0.129
Carter County,4922,0.192
Casey County,3268,0.21100000000000002
Edmonson County,1968,0.16
Elliott County,1575,0.258
Estill County,3136,0.22699999999999998
Fleming County,2774,0.18100000000000002
Garrard County,3104,0.17600000000000002
Graves County,6322,0.17600000000000002
Grayson County,4611,0.17800000000000002
Green County,1995,0.17600000000000002
Greenup County,5522,0.159
Harlan County,7364,0.297
Hickman County,807,0.187
Hopkins County,7018,0.16
Jessamine County,5485,0.10300000000000001
Kenton County,17971,0.106
Knott County,3401,0.261
Larue County,2437,0.161
Laurel County,13527,0.218
Leslie County,2541,0.267
Letcher County,4794,0.23800000000000002
McCracken County,10425,0.157
McCreary County,5471,0.359
Magoffin County,3239,0.292
